country,ID,year,EU2,IntRevRec,SCA,ctaxever,ctaxyear,dlemission_ctsectors,dlempman,dlemptot,dlrgdp,dlrgdppc,ecp_ghg_tax_usd_2018,emission_ctsectors,lemission_ctsectors,lempman,lemptot,lrgdp,lrgdppc,pgdp,rater_LCU_USD18,share19
Austria,AUT,1960,1,,0,0,,,,,,,0,,,,,24.9622993469238,,17.9646708004098,0,0
Austria,AUT,1961,1,,0,0,,,,,5.39016723632813,,0,,,,,25.0162010192871,,18.8785612187474,0,0
Austria,AUT,1962,1,,0,0,,,,,2.61421203613281,,0,,,,,25.0423431396484,,19.5091435274059,0,0
Austria,AUT,1963,1,,0,0,,,,,4.05483245849609,,0,,,,,25.0828914642334,,20.2267417441778,0,0
Austria,AUT,1964,1,,0,0,,,,,5.94425201416016,,0,,,,,25.142333984375,,20.8707183649377,0,0
Austria,AUT,1965,1,,0,0,,,,,3.42082977294922,,0,,,,,25.1765422821045,,21.981335996267,0,0
Austria,AUT,1966,1,,0,0,,,,,5.48954010009766,,0,,,,,25.2314376831055,,22.6676737755994,0,0
Austria,AUT,1967,1,,0,0,,,,,2.96363830566406,,0,,,,,25.2610740661621,,23.4038659995215,0,0
Austria,AUT,1968,1,,0,0,,,,,4.37526702880859,,0,,,,,25.3048267364502,,24.0680751944481,0,0
Austria,AUT,1969,1,,0,0,,,,,6.08673095703125,,0,,,,,25.3656940460205,,24.7259935699404,0,0
Austria,AUT,1970,1,,0,0,,,,,6.12945556640625,,0,,,,,25.4269886016846,9.60104656219482,26.3211642032961,0,0
Austria,AUT,1971,1,,0,0,,,,,4.98847961425781,4.53414916992188,0,,,,,25.4768733978272,9.64638805389404,27.9542272313495,0,0
Austria,AUT,1972,1,,0,0,,,,,6.02264404296875,5.45120239257813,0,,,,,25.5370998382568,9.70090007781982,30.0787295115977,0,0
Austria,AUT,1973,1,,0,0,,,,,4.77466583251953,4.21943664550781,0,,,,,25.584846496582,9.7430944442749,32.4987266645853,0,0
Austria,AUT,1974,1,,0,0,,,,,3.86638641357422,3.6952018737793,0,,,,,25.6235103607178,9.7800464630127,35.5868007245222,0,0
Austria,AUT,1975,1,,0,0,,,,,-0.364303588867188,-0.100898742675781,0,,,,,25.6198673248291,9.77903747558594,37.8849165993808,0,0
Austria,AUT,1976,1,,0,0,,,,,4.47673797607422,4.64839935302734,0,,,,,25.6646347045898,9.82552146911621,40.0159125047589,0,0
Austria,AUT,1977,1,,0,0,,,,,4.95510101318359,4.91676330566406,0,,,,,25.7141857147217,9.87468910217285,42.0962249493975,0,0
Austria,AUT,1978,1,,0,0,,,,,-0.210952758789063,-0.129890441894531,0,,,,,25.7120761871338,9.87339019775391,44.6190580352758,0,0
Austria,AUT,1979,1,,0,0,,,,,5.21831512451172,5.38864135742188,0,,,,,25.7642593383789,9.92727661132812,46.454851816096,0,0
Austria,AUT,1980,1,,0,0,,,,,1.71661376953125,1.71651840209961,0,,,,,25.7814254760742,9.94444179534912,49.0473247944114,0,0
Austria,AUT,1981,1,,0,0,,,,,-0.144386291503906,-0.399398803710938,0,,,,,25.7799816131592,9.94044780731201,52.3416705924026,0,0
Austria,AUT,1982,1,,0,0,,,,,1.99127197265625,1.9195556640625,0,,,,,25.7998943328857,9.95964336395264,55.1447188044041,0,0
Austria,AUT,1983,1,,0,0,,,,,2.9296875,3.0914306640625,0,,,,,25.8291912078857,9.99055767059326,57.0597756879203,0,0
Austria,AUT,1984,1,,0,0,,,,,0.0513076782226563,0.0575065612792969,0,,,,,25.829704284668,9.99113273620605,59.8841051773577,0,0
Austria,AUT,1985,1,,0,0,,,,,2.46791839599609,2.42099761962891,0,,,,,25.8543834686279,10.0153427124023,61.6584685265686,0,0
Austria,AUT,1986,1,,0,0,,,,,2.27527618408203,2.21176147460938,0,,,,,25.8771362304688,10.0374603271484,63.478008459991,0,0
Austria,AUT,1987,1,,0,0,,,,,1.34811401367188,1.2847900390625,0,,,,,25.8906173706055,10.0503082275391,65.0249346813144,0,0
Austria,AUT,1988,1,,0,0,,,,,3.24268341064453,3.10115814208984,0,,,,,25.9230442047119,10.08131980896,66.017771064312,0,0
Austria,AUT,1989,1,,0,0,,,,,3.81355285644531,3.36294174194336,0,,,,,25.9611797332764,10.1149492263794,67.9750401327985,0,0
Austria,AUT,1990,1,,0,0,,,,,4.25376892089844,3.49187850952148,0,25.5915794372559,3.24226331710815,,,26.0037174224854,10.1498680114746,70.0140741075483,0,0
Austria,AUT,1991,1,,0,0,,9.90860462188721,,,3.38382720947266,2.38523483276367,0,28.257230758667,3.34134936332703,,,26.0375556945801,10.1737203598022,72.5638967004432,0,0
Austria,AUT,1992,1,,0,0,,-1.84502601623535,,,2.07176208496094,0.971412658691406,0,27.7406597137451,3.32289910316467,,,26.0582733154297,10.1834344863892,75.0884622440071,0,0
Austria,AUT,1993,1,,0,0,,0.729632377624512,,,0.525474548339844,-0.299167633056641,0,27.9437999725342,3.33019542694092,,,26.0635280609131,10.1804428100586,77.1587146850193,0,0
Austria,AUT,1994,1,,0,0,,-4.29775714874268,,,2.37369537353516,1.98879241943359,0,26.76828956604,3.28721785545349,,,26.0872650146484,10.2003307342529,79.1069281466985,0,0
Austria,AUT,1995,1,,0,0,,5.28697967529297,,,2.63309478759766,2.47993469238281,0,28.2215995788574,3.34008765220642,6.51220607757568,8.18510818481445,26.1135959625244,10.2251300811768,80.5418630024336,0,0
Austria,AUT,1996,1,,0,0,,8.61895084381104,-2.52070426940918,0.387859344482422,2.3223876953125,2.18734741210938,0,30.7619094848633,3.42627716064453,6.48699903488159,8.18898677825928,26.1368198394775,10.2470035552979,81.3361702977102,0,0
Austria,AUT,1997,1,,0,0,,-8.37419033050537,-0.513076782226563,0.728416442871094,2.07195281982422,1.95865631103516,0,28.2907600402832,3.34253525733948,6.48186826705933,8.19627094268799,26.1575393676758,10.2665901184082,82.3666982955121,0,0
